
1,336-08-9532,Veal - Liver,10/01/2018,Tunisia,29/08/2018,Nardoo,Ergonomic,$7.96,jcb,$7.45
2,388-15-6952,Soup - Campbells Chili Veg,10/01/2018,China,05/02/2018,Doghobble,global,$3.89,jcb,$0.42
3,444-32-7468,Eel - Smoked,06/01/2018,Iran,17/12/2017,Salac Palm,didactic,$1.05,switch,$6.73
4,597-56-8891,Trout Rainbow Whole,06/12/2017,China,31/07/2018,Dotted Wild Coffee,Seamless,$9.37,diners-club-carte-blanche,$4.06
5,364-44-1741,Yogurt - Assorted Pack,17/08/2018,Brazil,30/09/2018,Sticky Brittlebush,secured line,$4.35,jcb,$2.45
6,786-06-5583,Ginger - Crystalized,31/10/2017,Venezuela,05/07/2018,Northern False Coolwort,hierarchy,$3.65,jcb,$8.15
7,789-10-7530,"Stock - Veal, Brown",24/04/2018,China,31/01/2018,Rim Lichen,Inverse,$2.29,mastercard,$9.43
8,826-09-3672,Bacardi Breezer - Tropical,02/09/2018,China,07/01/2018,Trumpet-tree,Enhanced,$6.13,jcb,$7.33
9,622-56-3445,Greens Mustard,02/05/2018,China,13/02/2018,Kunth's Smallgrass,Robust,$8.99,jcb,$9.10
10,238-01-5839,Yogurt - Assorted Pack,22/06/2018,Indonesia,28/05/2018,Shortspike Noseburn,policy,$9.15,diners-club-enroute,$2.94
11,784-71-4135,Compound - Mocha,14/10/2018,Yemen,20/06/2018,Rabbit-tobacco,collaboration,$9.66,china-unionpay,$1.63
12,279-33-4123,Lettuce - Sea / Sea Asparagus,23/11/2017,Portugal,14/08/2018,Lachnanthes,Centralized,$4.19,mastercard,$5.50
13,128-60-1286,Octopus,24/12/2017,United States,11/05/2018,Arctotis,reciprocal,$8.49,switch,$0.04
14,203-15-7211,Chips - Doritos,18/09/2018,South Korea,13/06/2018,Lichinella Lichen,time-frame,$1.43,jcb,$6.33
15,822-38-3809,Dish Towel,27/03/2018,Thailand,19/09/2018,Columbine Meadow-rue,modular,$4.08,visa-electron,$6.41
16,150-78-8751,Appetizer - Mango Chevre,16/01/2018,Armenia,20/12/2017,Hesperoyucca,core,$0.93,mastercard,$9.23
17,693-19-1028,"Syrup - Golden, Lyles",25/12/2017,United States,28/02/2018,Roundleaf Monkeyflower,upward-trending,$0.88,china-unionpay,$5.94
18,530-65-4262,Calypso - Black Cherry Lemonade,01/12/2017,United States,22/04/2018,Wheatspike Scalystem,portal,$2.63,americanexpress,$6.54
19,205-37-2371,Cornish Hen,16/08/2018,Ukraine,01/03/2018,American Alpine Speedwell,even-keeled,$6.43,jcb,$5.51
20,590-57-7988,Vegetable - Base,20/03/2018,Philippines,06/12/2017,Alpine Schadonia Lichen,zero defect,$4.14,mastercard,$5.70
21,598-66-5179,Wine - Montecillo Rioja Crianza,05/10/2018,Finland,09/01/2018,Kahili Beggarticks,system engine,$7.65,jcb,$7.01
22,279-13-3206,"Nut - Peanut, Roasted",27/10/2017,China,22/04/2018,Toumey's Sundrops,benchmark,$2.64,jcb,$0.48
23,398-47-1549,"Wine - Red, Colio Cabernet",30/01/2018,Russia,31/08/2018,Oval Dry Rock Moss,Extended,$6.49,visa-electron,$3.11
24,427-20-5157,Cinnamon Buns Sticky,15/04/2018,Mali,10/10/2018,Woollycup Buckwheat,Intuitive,$7.74,jcb,$2.04
25,774-18-8626,"Fish - Base, Bouillion",08/03/2018,France,16/04/2018,Ruth's Goldaster,secured line,$9.54,jcb,$4.84
26,342-71-7134,Creme De Cacao Mcguines,15/12/2017,China,09/12/2017,Showy Blackberry,ability,$4.71,switch,$9.15
27,291-07-4405,Hand Towel,04/03/2018,Norway,18/09/2018,Wallace's Spikemoss,attitude-oriented,$1.80,mastercard,$4.51
28,764-80-4132,Long Island Ice Tea,16/12/2017,Morocco,12/09/2018,Cape Pondweed,Monitored,$8.21,jcb,$6.37
29,201-71-5206,Seedlings - Clamshell,29/01/2018,China,08/05/2018,Fremont County Twinpod,Open-architected,$9.85,diners-club-enroute,$8.09
30,239-91-3336,"Appetizer - Spring Roll, Veg",12/06/2018,China,22/02/2018,Weak Rush,moratorium,$1.29,jcb,$2.92
31,408-48-1776,Cookies - Amaretto,07/07/2018,Afghanistan,15/02/2018,Primrose Peerless,contextually-based,$8.40,diners-club-international,$8.70
32,598-51-4012,"Cheese - Manchego, Spanish",07/03/2018,Argentina,04/05/2018,Woody Crinklemat,3rd generation,$4.89,diners-club-enroute,$7.15
33,842-05-5421,Madeira,03/05/2018,China,31/10/2017,Siberian Squill,parallelism,$8.68,jcb,$5.20
34,869-25-5478,Appetizer - Sausage Rolls,05/03/2018,Sweden,18/04/2018,Oregon Yampah,circuit,$6.02,jcb,$1.02
35,656-09-1778,Sprouts - Brussel,20/02/2018,China,26/07/2018,Disc Lichen,User-friendly,$7.04,jcb,$9.89
36,526-42-5613,Danishes - Mini Cheese,08/08/2018,Poland,20/07/2018,Asian White Birch,interface,$2.63,switch,$1.23
37,206-62-4471,Beef - Tender Tips,31/07/2018,United States,30/08/2018,Degelia Lichen,bi-directional,$5.13,mastercard,$7.19
38,554-68-4788,Glaze - Apricot,17/09/2018,Armenia,27/06/2018,Mountain Camellia,Phased,$8.74,jcb,$3.21
39,270-04-5739,"Jam - Blackberry, 20 Ml Jar",15/08/2018,Philippines,21/07/2018,Fendler's False Cloak Fern,Phased,$5.37,jcb,$9.32
40,367-55-7662,Okra,27/01/2018,China,20/08/2018,Yellow Monardella,incremental,$3.40,jcb,$6.83
41,671-24-0905,Chips - Potato Jalapeno,05/01/2018,Greece,28/01/2018,Mudmats,24/7,$0.27,diners-club-us-ca,$1.46
42,456-38-2928,Chocolate Bar - Oh Henry,21/03/2018,Czech Republic,14/08/2018,Florida Mudmidget,flexibility,$8.34,diners-club-carte-blanche,$4.98
43,656-67-3944,Cheese - Goat,03/05/2018,Indonesia,20/05/2018,Glory-pea,methodical,$2.49,jcb,$5.62
44,439-89-5719,Toamtoes 6x7 Select,07/05/2018,United States,21/04/2018,Tall Yellowtop,intranet,$6.68,jcb,$7.44
45,498-89-0172,Muffin Mix - Corn Harvest,05/12/2017,Indonesia,13/06/2018,Lilacbush,encoding,$3.21,jcb,$7.05
46,161-27-0856,Tomatoes - Heirloom,27/08/2018,France,28/10/2017,St. Johnswort,6th generation,$1.49,diners-club-international,$6.94
47,869-21-1817,Cheese - Parmigiano Reggiano,11/05/2018,United States,29/10/2017,Slim Tridens,tangible,$0.96,americanexpress,$9.17
48,361-22-1579,Cake - Miini Cheesecake Cherry,05/11/2017,Mexico,25/07/2018,San Francisco Bluegrass,Decentralized,$7.16,jcb,$7.21
49,736-50-9887,Jameson - Irish Whiskey,24/09/2018,Indonesia,16/06/2018,Willey's Rim Lichen,Up-sized,$1.41,jcb,$0.64
50,467-06-5834,Papayas,20/06/2018,China,22/04/2018,Dwarf Mock Orange,well-modulated,$3.43,china-unionpay,$2.29
51,817-81-8010,Beer - Paulaner Hefeweisse,27/12/2017,Slovenia,27/06/2018,Gold Coast Jasmine,Intuitive,$8.27,jcb,$2.01
52,382-27-5042,Lettuce - Belgian Endive,26/10/2017,Sweden,17/06/2018,Oregon Phacelia,Public-key,$0.39,maestro,$5.63
53,439-75-0674,Sherbet - Raspberry,15/03/2018,Portugal,04/11/2017,Sierra Madre Lobelia,24 hour,$5.42,mastercard,$5.58
54,484-73-2317,Lighter - Bbq,15/12/2017,China,25/11/2017,Nakedstem Carpetweed,infrastructure,$2.64,jcb,$4.67
55,704-23-7858,Fennel - Seeds,17/08/2018,Portugal,05/02/2018,Crandall's Saxifrage,systemic,$4.17,china-unionpay,$2.61
56,537-81-8127,Veal - Slab Bacon,07/07/2018,Moldova,02/10/2018,Oca,even-keeled,$2.51,bankcard,$7.87
57,136-89-1379,Anisette - Mcguiness,17/02/2018,Indonesia,04/09/2018,Texas False Broomweed,Polarised,$3.13,diners-club-carte-blanche,$7.26
58,223-38-4195,Noodles - Steamed Chow Mein,09/11/2017,Russia,02/02/2018,Harvey's Beaksedge,modular,$1.28,jcb,$0.60
59,193-79-2605,Spice - Greek 1 Step,19/03/2018,Brazil,23/02/2018,Roosevelt Dam Rockdaisy,Progressive,$3.96,jcb,$5.91
60,409-27-5872,"Coffee - Colombian, Portioned",06/02/2018,South Korea,24/03/2018,Morro Manzanita,capacity,$9.24,switch,$0.67
61,226-18-3146,Pumpkin - Seed,04/10/2018,Niger,15/04/2018,Myrtle Spurge,parallelism,$4.60,mastercard,$3.40
62,830-72-0911,Salt - Celery,12/12/2017,Canada,28/04/2018,Blue Skin Lichen,Fundamental,$8.14,jcb,$3.32
63,183-99-5937,Fudge - Cream Fudge,20/03/2018,United States,06/03/2018,Alpine Shootingstar,Reverse-engineered,$4.08,jcb,$4.07
64,625-01-1400,"Wine - White, Ej Gallo",16/04/2018,Philippines,28/06/2018,Downy Indian Paintbrush,Organic,$7.79,jcb,$7.78
